method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std
SGD bs16_lr1e-04,8.679969116052291,0.39699255394695465,10.551613358972451,0.4534434265069399
SGD bs32_lr1e-04,11.70754857091853,0.8439507444545367,14.219372986154884,0.9862734172863472
SGD bs64_lr1e-04,14.619622575165497,0.5834502962264524,17.777491610418064,0.7197077810943241
SGD bs16_lr1e-03,3.061422222744892,0.1756846049098816,4.494456884484077,0.23885312241616935
SGD bs32_lr1e-03,4.10904424981463,0.18544610462911826,5.372202348269794,0.23029604713861318
SGD bs64_lr1e-03,5.652049978561554,0.17661225174713288,6.96409526967855,0.1977426295670437
SGD bs16_lr1e-02,1.9003686091780096,0.19810858553380303,3.8508148481572517,0.41601575936965285
SGD bs32_lr1e-02,2.1720230962673908,0.22430343894692267,3.961523098069665,0.2701931768751459
SGD bs64_lr1e-02,2.4103479425145737,0.2837715549541691,4.179910515138515,0.30892861939273997
CG (baseline),2.7019741654340983,0.8738820823703679,5.052315050403472,0.9501655737592195
